Unnamed: 0,SAMPID,근무 시작 시점 (년),근무 시작 시점 (월),직업 코드 (세분류),직업 코드 (대분류),아버지 직업 (고용직업분류),아버지 직업 (표준직업분류),아버지 종사상지위,아버지 최종학력 변동 여부,아버지 최종학교,어머니 최종학교,어머니 직업 (고용직업분류),어머니 직업 (표준직업분류),주택 종류,"주택 면적 (비단독주택, 평)"
7579,107581,2022.0,10.0,284.0,0.0,8.0,8.0,1.0,1.0,,,5.0,4.0,2.0,9090909.0
7580,107582,2022.0,10.0,263.0,0.0,6.0,5.0,2.0,1.0,,,6.0,5.0,2.0,32.0
7581,107583,2021.0,3.0,6161.0,6.0,6.0,8.0,1.0,1.0,,,6.0,4.0,2.0,9090909.0
7582,107584,2022.0,3.0,263.0,0.0,6.0,8.0,1.0,1.0,,,6.0,4.0,2.0,9090909.0
7585,107587,2019.0,8.0,8111.0,8.0,9.0,6.0,3.0,1.0,,,10.0,11.0,2.0,9090909.0
7586,107588,2017.0,2.0,6151.0,6.0,7.0,7.0,1.0,1.0,,,10.0,11.0,2.0,20.0
7587,107589,2020.0,4.0,3073.0,3.0,8.0,1.0,2.0,1.0,,,0.0,3.0,2.0,9090909.0
7591,107593,2019.0,11.0,8111.0,8.0,11.0,12.0,,,,,10.0,11.0,2.0,9090909.0
7592,107594,2022.0,3.0,3064.0,3.0,8.0,8.0,1.0,1.0,,,8.0,8.0,2.0,9090909.0
7593,107595,2022.0,3.0,2112.0,2.0,7.0,7.0,3.0,1.0,,,10.0,11.0,2.0,9090909.0
7595,107597,2022.0,4.0,284.0,0.0,8.0,8.0,1.0,1.0,,,5.0,4.0,2.0,34.0
7596,107598,2022.0,6.0,3062.0,3.0,8.0,8.0,1.0,1.0,,,5.0,4.0,4.0,9090909.0
7597,107599,2018.0,10.0,2141.0,2.0,8.0,8.0,1.0,1.0,,,6.0,5.0,2.0,9090909.0
7598,107600,2022.0,2.0,3071.0,3.0,8.0,8.0,1.0,1.0,,,6.0,5.0,2.0,9090909.0
7600,107602,2022.0,2.0,3064.0,3.0,11.0,12.0,,,,,5.0,7.0,2.0,30.0
7601,107603,2020.0,1.0,4162.0,4.0,11.0,12.0,,,,,5.0,7.0,2.0,30.0
7602,107604,2022.0,3.0,2121.0,2.0,8.0,5.0,2.0,1.0,,,10.0,11.0,2.0,32.0
7605,107607,2022.0,1.0,262.0,0.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
